JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, JetPt5, JetEta5, JetPhi5, JetMass5, JetBTagger5, JetPt6, JetEta6, JetPhi6, JetMass6, JetBTagger6, ZZPt, ZZPhi, ZZEta, ZZMass, weight
122.764 ,-2.06829 ,1.10868 ,14.2239 ,0.0821034 ,99.2094 ,-2.54112 ,2.16049 ,18.3229 ,0.0839315 ,38.6384 ,-0.631621 ,1.35777 ,8.33571 ,0.97782 ,31.9221 ,-1.05909 ,1.69656 ,6.5803 ,0.0175846 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,221.262 ,-1.88399 ,-1.61421 ,124.33 ,4.35098e-05
102.765 ,-1.75944 ,0.316629 ,13.166 ,0.0202744 ,71.3906 ,-1.26118 ,1.52112 ,10.8976 ,0.999381 ,64.6385 ,-0.237948 ,-2.96434 ,10.5727 ,0.999512 ,53.7828 ,0.182353 ,0.569742 ,8.53139 ,0.0208661 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,135.896 ,-2.32461 ,1.02089 ,122.328 ,5.55558e-05
105.675 ,-2.2753 ,-1.97525 ,12.8137 ,0.0119271 ,52.658 ,-2.57205 ,1.45411 ,10.8548 ,0.084383 ,50.4066 ,-0.382661 ,1.56318 ,9.52438 ,0.998235 ,45.1194 ,-0.113357 ,-1.83287 ,8.61194 ,0.0519009 ,42.9181 ,2.3283 ,-1.60155 ,6.392 ,0.0283052 ,30.3639 ,-1.73021 ,-0.857397 ,5.40872 ,0.0215555 ,82.998 ,1.27659 ,0.0272735 ,124.499 ,7.86436e-05
134.484 ,-0.72142 ,-2.5725 ,12.6802 ,0.946362 ,66.103 ,-2.18814 ,-0.749766 ,10.5518 ,0.164661 ,62.6335 ,-2.68596 ,0.645025 ,10.0354 ,0.0786546 ,59.199 ,-0.713868 ,-1.1124 ,8.10841 ,0.0224704 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,79.2762 ,1.03742 ,-0.642223 ,125.847 ,6.48489e-05
161.081 ,-1.07866 ,2.03065 ,28.5214 ,0.0104661 ,153.557 ,-1.07127 ,-1.80763 ,26.6967 ,0.0526911 ,93.8751 ,-1.49042 ,-0.851937 ,13.718 ,0.791151 ,76.2698 ,-1.54769 ,2.08653 ,10.9747 ,0.989004 ,65.0498 ,-0.777867 ,-2.6317 ,8.46906 ,0.326607 ,54.9834 ,-1.34061 ,1.44656 ,9.02149 ,0.0299249 ,171.822 ,-0.435713 ,-0.758878 ,126.103 ,5.41962e-05
83.7198 ,-1.81493 ,-0.573111 ,13.6921 ,0.0540728 ,56.9771 ,-1.62761 ,0.833461 ,6.83887 ,0.656529 ,51.4926 ,-0.997172 ,-1.37958 ,6.67413 ,0.0133929 ,47.191 ,0.826435 ,0.634012 ,8.37192 ,0.0296985 ,31.9411 ,1.75023 ,2.65082 ,4.71513 ,0.014672 ,-999 ,-999 ,-999 ,-999 ,-999 ,180.456 ,-3.03918 ,0.640451 ,124.198 ,8.48476e-05
150.819 ,-0.518125 ,-1.74429 ,22.3172 ,0.806004 ,109.658 ,-0.842603 ,2.02926 ,13.4952 ,0.974551 ,56.2233 ,-1.0913 ,-1.22942 ,10.5637 ,0.0950289 ,46.2618 ,2.03947 ,-2.31719 ,7.22168 ,0.112062 ,32.9195 ,0.320741 ,-3.03178 ,5.53225 ,0.0586737 ,-999 ,-999 ,-999 ,-999 ,-999 ,156.192 ,0.587181 ,-0.551199 ,126.738 ,5.96667e-05
177.93 ,2.67565 ,-2.38277 ,24.1715 ,0.101355 ,72.4349 ,2.02378 ,1.10422 ,10.7729 ,0.0358196 ,55.701 ,0.907333 ,0.118416 ,11.1335 ,0.0206942 ,50.3906 ,-0.0385627 ,-1.1095 ,12.629 ,0.975846 ,33.84 ,-2.77924 ,-1.17142 ,7.60925 ,-2 ,-999 ,-999 ,-999 ,-999 ,-999 ,141.755 ,1.52672 ,1.43876 ,127.108 ,6.80277e-05
113.708 ,-0.173143 ,3.03621 ,13.208 ,0.346814 ,95.8745 ,0.971984 ,0.481883 ,10.5084 ,0.0687636 ,39.4166 ,1.1273 ,2.96929 ,6.41028 ,0.146223 ,39.2065 ,0.245374 ,-0.97588 ,6.5011 ,0.864832 ,32.076 ,-0.758948 ,2.17467 ,5.71741 ,0.0564727 ,30.6656 ,0.634072 ,2.64873 ,5.34661 ,0.0347894 ,143.147 ,-0.550662 ,0.63709 ,126.485 ,8.39335e-05
124.252 ,-0.813669 ,-2.57292 ,18.7786 ,0.143426 ,123.659 ,-2.68131 ,0.599532 ,13.4496 ,0.406693 ,78.4618 ,0.0482962 ,-2.72308 ,10.2658 ,0.874567 ,64.1516 ,-0.0308475 ,2.53398 ,12.5145 ,0.035609 ,55.5987 ,0.320146 ,1.40189 ,8.0962 ,0.0159396 ,42.1626 ,1.15218 ,0.59937 ,5.488 ,0.342395 ,151.025 ,-0.565213 ,-1.79951 ,125.509 ,4.37299e-05
