LepPt[0],LepPt[1],LepPt[2],LepPt[3],LepPhi[0],LepPhi[1],LepPhi[2],LepPhi[3],LepEta[0],LepEta[1],LepEta[2],LepEta[3],JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, ExtraLepPt1, ExtraLepPhi1, ExtraLepEta1, weight
232.413,279.04,268.92,24.9816,-0.650106,-0.850704,-0.75574,-0.251631,0.176338,0.00893576,-0.0197781,-0.309156,120.964 ,0.411272 ,1.05593 ,18.4638 ,0.814831 ,97.5443 ,-0.00157879 ,1.64867 ,14.0154 ,0.419623 ,97.152 ,2.78919 ,1.05879 ,8.46461e-05
100.836,63.3801,14.7675,19.474,-2.79056,-2.84518,-2.55561,-1.75915,-0.741453,0.0722334,-1.61366,-1.22671,124.567 ,-1.91999 ,0.0556716 ,19.3458 ,0.271299 ,104.404 ,-1.41802 ,1.95889 ,18.7468 ,0.688686 ,22.837 ,-0.401141 ,-1.69357 ,6.40577e-05
56.7485,70.0916,6.87563,18.1577,1.61995,1.12982,2.69248,1.83108,0.329512,-0.98779,-1.94542,-0.562151,88.4674 ,-1.42095 ,-0.850623 ,12.3011 ,0.992788 ,59.304 ,-0.788306 ,3.04989 ,10.4514 ,0.985474 ,104.461 ,-1.7937 ,-0.357776 ,7.60015e-05
105.28,141.941,51.9701,55.766,1.41014,1.52312,1.0686,1.68957,-1.81555,-1.09308,-1.36727,-1.50879,95.0548 ,-0.370497 ,2.27418 ,14.7751 ,0.885209 ,84.6942 ,-0.801762 ,-1.5105 ,15.198 ,0.918346 ,347.439 ,-1.28 ,-0.214361 ,5.97835e-05
90.3941,116.009,7.2625,41.0731,-0.112805,-0.224829,-0.32837,-0.795109,0.433062,-0.421703,0.888843,0.0196192,138.033 ,1.21504 ,-2.31194 ,13.6248 ,0.997872 ,104.952 ,2.13362 ,2.11513 ,10.53 ,0.0462145 ,29.5755 ,-1.38922 ,2.23763 ,4.47996e-05
76.3983,20.0075,49.6477,47.4643,-0.0644244,2.02201,-0.795188,-0.355104,-0.705113,-0.39986,-1.04983,-1.06108,253.222 ,-0.407732 ,-2.91748 ,28.3264 ,0.0224662 ,116.805 ,-0.353341 ,1.3575 ,16.2715 ,0.286638 ,44.3767 ,1.7079 ,0.517103 ,4.28296e-05
29.6399,70.3199,19.4892,46.6214,-1.20981,-1.9431,-1.82295,-2.27858,-0.743579,0.875056,1.09018,0.515779,127.938 ,-0.389142 ,2.51552 ,17.3372 ,0.604645 ,59.9866 ,0.356402 ,0.510923 ,6.60739 ,0.0101548 ,56.9502 ,1.40865 ,-0.864502 ,5.57889e-05
22.0061,36.6994,9.12517,36.3126,-0.895828,2.30776,0.880214,-0.814734,-0.0508383,-1.04102,-0.599427,-0.564177,101.168 ,0.171478 ,1.91335 ,14.2542 ,0.977268 ,33.1042 ,-2.62235 ,0.435475 ,9.3055 ,-2 ,51.7186 ,-1.44108 ,-0.99495 ,6.76133e-05
180.653,14.4442,74.1527,21.4124,0.529088,-1.16723,0.668361,1.20449,0.473736,1.2348,0.403792,0.768872,126.703 ,0.296719 ,-2.31851 ,17.3095 ,0.999632 ,91.8569 ,-0.139595 ,-2.63669 ,12.2225 ,0.0387727 ,27.3149 ,-1.27435 ,0.522378 ,6.14138e-05
53.1598,246.67,10.7603,27.0963,-0.55579,0.26319,-0.727431,0.577278,-0.273711,-0.315818,0.260625,-0.613274,88.8763 ,0.107703 ,-2.88913 ,15.6361 ,0.887436 ,68.9367 ,0.0329867 ,1.53863 ,12.188 ,0.0205417 ,97.5908 ,2.34775 ,0.288533 ,6.13699e-05
31.3684,42.8812,23.3027,15.3038,-0.902614,2.38964,2.7543,-0.0753561,-0.0166353,-0.0316019,0.0451412,1.27649,63.5099 ,0.154416 ,-1.31058 ,10.3388 ,0.95033 ,50.6319 ,1.02409 ,1.90072 ,9.27095 ,0.0184125 ,31.2056 ,1.25006 ,0.856343 ,6.07881e-05
126.37,10.1755,9.96913,25.9907,0.743819,-1.24337,-1.17378,-0.0143081,0.293563,-1.38886,-0.167363,0.381977,662.667 ,-1.18136 ,0.457312 ,153.433 ,0.0708791 ,356.593 ,0.528681 ,-2.68111 ,27.4854 ,0.0977375 ,174.761 ,-2.64263 ,0.0489932 ,8.0304e-05
93.2688,46.298,49.1852,10.0322,2.61429,-2.65897,-2.99558,-2.90492,2.14267,1.49682,2.23017,1.07127,97.7946 ,-0.477032 ,-1.14196 ,9.75405 ,0.999788 ,87.0641 ,-1.44337 ,-0.526646 ,10.7025 ,0.0873128 ,102.044 ,-0.473988 ,-0.0160207 ,6.33691e-05
29.0173,76.3199,16.9829,21.774,2.47602,-1.4536,-0.728002,-2.55936,0.170445,0.53142,0.706749,-0.0264782,77.53 ,1.38264 ,-0.0137871 ,13.8257 ,0.915031 ,40.8377 ,-1.74697 ,1.70409 ,9.61503 ,0.0217993 ,53.1944 ,-1.38063 ,-0.0133142 ,5.69439e-05
35.6154,24.3237,9.55957,12.5097,0.695656,1.20097,1.64065,-2.50982,-1.65642,0.747701,-1.49573,-0.0633029,67.2874 ,1.33316 ,-0.309734 ,14.7437 ,0.996971 ,63.1828 ,-2.57369 ,-2.99296 ,8.65697 ,0.0353304 ,25.0295 ,-0.438216 ,0.456913 ,6.11561e-05
44.1661,38.0176,14.4093,22.9191,2.59372,0.271728,-0.53682,1.90636,-1.46243,-0.329224,-0.727084,-1.28767,58.4803 ,-1.05187 ,-0.104188 ,10.1377 ,0.08322 ,56.5132 ,0.160117 ,-1.19897 ,10.4044 ,0.872896 ,74.4418 ,2.53885 ,-1.21877 ,5.14097e-05
65.734,31.6279,15.9469,6.41287,-2.70041,1.40643,-1.85158,0.14301,0.155471,1.06318,-0.591319,-0.0756961,111.31 ,0.252709 ,2.84057 ,11.7087 ,0.32168 ,-999 ,-999 ,-999 ,-999 ,-999 ,63.6213 ,2.89765 ,-0.5217 ,2.14698e-05
34.1837,55.4853,43.2943,12.5097,-3.13271,-2.37731,-2.01504,-1.91824,0.430151,1.43681,0.789109,-0.481616,161.427 ,-2.78056 ,2.35289 ,17.9254 ,0.295318 ,49.2617 ,2.75484 ,-2.96179 ,8.76187 ,0.184908 ,278.68 ,-0.0127837 ,0.784459 ,5.60177e-05
144.539,55.4445,33.6371,106.436,2.47316,1.84861,2.18457,2.42589,-0.68744,0.0232598,-0.0360726,-0.266626,202.851 ,0.0588071 ,-0.674959 ,28.8063 ,0.0295737 ,174.458 ,-0.166153 ,-1.07267 ,12.0952 ,0.0149486 ,55.958 ,2.52795 ,-1.65855 ,6.41734e-05
52.4227,30.3763,20.8246,33.0558,1.49287,-2.92292,2.18829,1.92952,-1.12609,-1.09412,0.345508,-1.5458,128.18 ,-1.71789 ,2.53378 ,19.548 ,0.972976 ,126.642 ,1.69008 ,-1.63431 ,13.7988 ,0.0373865 ,37.5627 ,-1.78164 ,-1.62966 ,7.86835e-05
82.7257,23.7094,83.0365,35.0499,-0.0524737,1.13501,0.311588,-0.402111,-1.29097,-1.08835,-0.540507,-0.653138,154.012 ,0.842211 ,2.89653 ,19.4788 ,0.497343 ,124.028 ,0.0985426 ,2.96731 ,18.153 ,0.0144123 ,84.0263 ,-0.95046 ,1.29115 ,6.31359e-05
105.215,229.783,52.7337,14.2777,-2.20828,-1.90712,-2.17865,-1.98127,0.874812,0.476315,0.943057,-0.0312505,293.929 ,1.16411 ,1.01325 ,33.7463 ,0.261564 ,95.4349 ,1.64204 ,1.30027 ,12.3844 ,0.665946 ,51.5664 ,-1.66097 ,-0.128123 ,6.52047e-05
58.7944,52.308,8.0727,22.5849,-2.33451,-2.27231,2.10492,-1.68451,-0.468558,0.931319,0.887011,-0.344447,159.194 ,1.36023 ,-0.122815 ,29.926 ,0.0223463 ,45.1831 ,2.12286 ,0.682232 ,9.97583 ,0.576943 ,40.27 ,1.45146 ,-0.12428 ,5.08324e-05
47.29,72.3024,52.327,17.2651,-0.625475,-1.18312,-0.995626,-1.55235,1.41593,0.0666302,0.166059,0.614468,122.989 ,-0.936468 ,0.368914 ,24.5787 ,0.0227225 ,69.2409 ,-0.805299 ,2.37856 ,6.47376 ,0.0448963 ,31.9985 ,-2.50273 ,1.88321 ,6.61421e-05
31.2102,40.422,7.74676,62.8268,0.745082,-0.798769,2.08105,0.337932,0.199413,-1.00746,-0.687206,-0.312947,83.8551 ,1.71984 ,2.91147 ,16.5935 ,0.148069 ,80.8033 ,0.723181 ,-1.34868 ,13.8509 ,0.998855 ,40.0459 ,0.716221 ,0.350944 ,6.46896e-05
44.5934,40.1734,14.6821,14.049,0.57643,-0.825298,-0.120594,-0.854448,0.337212,-0.371658,-2.10766,-0.40052,117.673 ,-0.238875 ,0.00471186 ,11.2526 ,0.114427 ,110.922 ,-0.859751 ,-2.42568 ,11.2451 ,0.0151542 ,32.4097 ,2.90228 ,-0.388396 ,7.75591e-05
60.9279,74.7901,12.5613,27.1822,0.187853,-0.382512,-1.47448,-0.967817,0.641572,-0.0797937,-0.0145981,1.24866,78.035 ,-0.0676793 ,-2.43442 ,9.32356 ,0.012223 ,45.5068 ,-1.7172 ,-1.87025 ,8.48886 ,0.813365 ,12.6178 ,0.468811 ,-0.325603 ,6.92875e-05
95.887,67.9333,27.6431,11.5287,-0.640915,-1.59933,-0.904139,-2.58051,0.400889,-0.136628,0.137427,-0.657126,80.3343 ,-1.12756 ,1.32058 ,10.2165 ,0.964455 ,-999 ,-999 ,-999 ,-999 ,-999 ,113.476 ,2.30743 ,0.765012 ,3.27296e-05
69.4264,62.2144,34.4621,15.2963,-2.882,3.06115,2.91798,2.05555,0.629777,1.89246,0.766681,1.17936,185.058 ,-1.03643 ,0.0415604 ,20.6274 ,0.0318418 ,75.7123 ,-1.34568 ,0.701639 ,14.5052 ,0.0218036 ,84.1367 ,-1.69697 ,1.55679 ,8.30982e-05
37.9682,97.1696,35.0939,28.18,-3.01778,-1.99256,-2.69196,-2.83708,-0.66222,0.395043,-0.0391091,-0.519275,151.438 ,-0.282801 ,-0.591762 ,30.3738 ,0.970317 ,75.1236 ,2.21052 ,2.51402 ,10.4082 ,0.0800258 ,87.0124 ,1.64568 ,0.749282 ,6.41648e-05
