JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, ZZPt, ZZPhi, ZZEta, ZZMass, weight
167.15,-0.776438,1.44075,25.8188,0.179759,70.7794,-0.154553,0.350386,14.0573,0.975653,67.956,-0.468953,2.00241,13.6687,0.0462614,36.2079,-0.483385,2.91395,3.70648,0.0105604,219.401,-1.78989,-1.11672,126.792,5.62026e-05
133.301,-0.884264,-0.267022,19.3262,0.0147081,113.603,-0.802912,-1.72496,19.7239,0.973898,61.7616,-2.54531,-2.45151,9.20864,0.0693785,56.9929,-1.71718,2.89912,10.4098,0.0332247,249.737,0.916814,-0.73911,127.321,7.24922e-05
173.966,-0.646671,-2.78101,17.7597,0.213439,113.962,-0.347223,1.69979,21.072,0.446442,103.646,-0.745581,0.835297,12.2921,0.138534,94.7358,-0.0938077,-2.4364,10.9578,0.0230858,217.271,-0.333024,0.374378,123.908,4.21411e-05
123.883,0.599243,-1.79599,15.0571,0.992366,119.906,-0.912783,1.64661,23.6522,0.0798978,89.892,0.0150891,-1.77198,13.2066,0.0124654,48.3204,-0.907467,1.0784,9.10459,0.237895,11.0847,0.406864,2.85105,135.255,4.70526e-05
131.413,-1.46673,-2.23016,17.144,0.974358,82.7551,-1.33442,2.08419,10.2249,0.0889989,53.7847,-1.82496,0.300666,11.2368,0.805234,45.0959,-0.760526,0.73594,9.12132,0.0296129,94.3562,1.31619,-1.23617,124.261,2.24518e-05
84.2119,-0.445827,1.24004,14.7835,0.988976,65.3597,-1.04826,-2.17998,11.0392,0.677917,44.8811,-0.183477,2.34465,6.21392,0.0354513,44.0658,-1.0127,0.28782,6.81637,0.0466131,34.4967,-1.46962,-0.44337,124.469,5.09387e-05
248.461,-1.27763,-2.10081,34.425,0.291372,180.644,-1.25335,0.903969,19.0572,0.883321,81.9388,-1.34185,1.76051,13.7847,0.0373176,59.0636,-2.13982,-2.47623,10.1494,0.0553722,103.825,0.669663,1.47616,126.962,5.76758e-05
150.571,-0.115518,1.88941,18.2939,0.118844,86.0297,0.0607618,0.935041,9.14863,0.789516,77.0241,0.27984,1.36654,9.39121,0.0190092,40.3467,1.02951,2.77487,8.59285,0.954835,272.041,-1.5319,-0.327677,125,6.04657e-05
165.397,-1.42944,2.87958,27.6421,0.258639,134.189,-1.60437,-1.23602,16.6659,0.607344,58.7459,-0.859997,-1.65891,7.0092,0.8654,37.0673,-2.35484,-0.277943,7.53134,0.495912,173.713,1.0456,-1.39873,124.869,5.33296e-05
136.032,-2.3062,-2.29824,21.8164,0.533279,91.3147,-1.15264,-0.240245,11.2328,0.0235506,65.1284,-3.22914,-3.06529,10.2679,-2,58.3747,-1.78259,-0.821,10.2356,0.0268227,188.945,1.54657,-2.39932,130.267,1.55606e-05
60.6715,-2.21348,0.694581,10.7429,0.360431,46.5074,-0.913664,-3.07179,7.45735,0.017815,43.7398,-1.10503,-2.53132,9.69363,0.985937,30.4601,-0.010965,-1.77153,4.6842,0.0261734,86.8378,-1.77213,-1.55169,125.186,3.61962e-05
108.335,-1.42167,2.76314,16.5957,0.673818,100.591,-0.914532,-0.359058,17.3362,0.0141823,98.4779,-2.05111,2.39917,11.612,0.0482122,81.5523,0.058258,-0.104191,10.0304,0.0161275,94.6824,-2.47416,-1.03615,125.023,5.39804e-05
264.434,-1.47193,0.0408889,24.6064,0.741258,147.714,-1.50025,-0.736296,23.0622,0.268904,78.6033,-0.779899,-2.59441,10.6596,0.0150676,76.8564,-0.679447,1.92828,13.0621,0.738274,292.023,-3.11239,-0.998416,123.047,3.95235e-05
140.964,0.691995,2.10293,12.2521,0.992941,57.9226,0.813681,2.95754,7.99922,0.777747,38.7082,0.829341,-0.475376,6.73089,0.0666259,36.5459,-0.386098,1.70867,5.95387,0.00929128,149.051,-1.15504,-1.6133,129.915,6.01089e-05
211.277,-1.7307,-0.816743,36.8161,0.136722,157.353,-1.21507,-0.927095,21.7044,0.644673,53.3993,-0.700478,-3.09536,13.4392,0.0357534,50.3987,-2.27834,-0.701687,8.08375,0.923935,318.913,2.11655,-0.600513,125.401,1.91783e-05
80.1176,-1.23032,-2.24613,10.9157,0.449815,57.5286,-2.6915,2.20624,11.0634,0.107297,47.2642,-0.862803,1.99302,7.77494,0.996133,34.467,-3.55698,1.36421,6.77297,-2,153.551,-1.39081,-1.27317,136.811,6.28062e-05
172.113,-1.35795,2.90315,23.0686,0.154932,67.2679,-0.729306,-3.04325,12.5137,0.0281848,65.2498,-1.41101,-2.53732,9.3595,0.00796883,42.8261,-2.75804,-0.00355075,7.86047,0.351684,118.883,-0.56463,-1.27029,124.065,4.90711e-05
150.326,-0.850912,-0.235798,16.5849,0.0628509,96.1252,-0.62385,-0.969692,14.2835,0.0123046,54.5094,0.175204,-0.084882,7.29865,0.977704,33.3885,-3.95855,-2.26211,6.13359,-2,135.06,1.94062,-1.88398,124.653,4.62015e-05
79.7832,-0.212848,-1.90678,9.17326,0.0127895,57.229,-0.332197,1.97782,7.49506,0.962082,54.0029,-0.00269988,1.51801,8.23919,0.0319327,30.6992,2.82776,-1.81536,4.89178,-2,87.6883,-2.15114,-0.622493,105.413,4.98705e-05
151.586,0.39803,-1.00216,15.8826,0.751512,130.077,-1.82871,-2.51712,20.0947,0.22677,51.73,-0.727497,2.76341,9.91342,0.0358223,41.7774,0.109476,0.758865,5.93809,0.0219162,112.368,0.793766,0.0990934,139.994,4.51333e-05
150.39,-0.242042,-0.0974323,30.0358,0.0487947,68.262,0.226004,-2.19837,11.9594,0.950584,48.6048,0.382671,-2.59795,6.25182,0.226726,39.9403,-2.48996,0.0244209,8.76957,0.0452178,47.5701,2.72653,-1.93266,121.462,6.3914e-05
199.892,0.534727,2.69223,34.2937,0.855801,96.2492,0.937046,-2.58247,11.4838,0.334078,85.0288,0.366908,0.670731,11.6228,0.895625,65.7031,0.90684,2.98036,11.554,0.0331335,276.865,-0.336468,-0.688785,124.864,4.93685e-05
89.6505,0.586553,1.6941,10.6704,0.948927,89.0284,0.152601,-2.96042,11.7736,0.391007,88.5694,0.558193,-0.910327,13.9522,0.9995,58.0408,0.0492574,2.75236,10.5174,0.0228798,93.8973,-0.368291,1.14404,125.518,3.07242e-05
239.26,-0.385126,-0.418213,17.4922,0.0127426,219.137,-0.753725,-0.80522,14.2948,0.777653,189.675,-1.61874,2.84608,24.044,0.0391323,162.221,-1.95901,2.12002,15.7808,0.0232628,106.508,1.99412,-0.635048,123.784,5.77749e-05
95.962,0.261967,-3.05923,21.2418,0.953748,58.8253,-0.55815,-1.15559,13.3389,0.263597,46.7628,-0.9881,1.42389,7.57519,0.0374207,38.4028,3.50914,0.0476093,7.16717,-2,28.4937,2.27077,-2.00483,120.493,5.24514e-05
180.992,0.462572,-2.80434,22.5877,0.999251,104.244,-0.256647,3.0852,16.4129,0.0175054,87.0425,-0.00788643,0.968933,5.89038,0.762955,84.314,1.27602,-2.2323,9.72597,0.0375606,204.394,-1.00318,1.03505,127.891,4.54546e-05
77.7291,-2.00732,1.80458,12.8921,0.949123,62.8929,-0.469576,1.75615,9.99694,0.0152002,41.8956,0.324659,-1.04793,7.09282,0.389801,40.3332,0.331449,2.96571,5.92248,0.588571,215.608,-1.70765,-0.307448,126.018,6.88046e-05
