LepPt[0],LepPt[1],LepPt[2],LepPt[3],LepPhi[0],LepPhi[1],LepPhi[2],LepPhi[3],LepEta[0],LepEta[1],LepEta[2],LepEta[3],JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, ExtraLepPt1, ExtraLepPhi1, ExtraLepEta1, weight
44.9937,45.0684,18.1494,7.12091,1.44702,-1.31227,-0.568025,2.28464,-0.412977,-0.119007,-0.334968,1.3484,88.5684,-0.820965,-1.00479,14.3054,0.0459887,37.2247,0.857552,-1.81558,8.03742,0.995505,74.1045,1.97026,1.06481,4.83923e-05
37.5693,26.919,26.7483,30.0991,1.40932,-1.13484,-2.53303,0.111627,0.803781,1.13376,0.740451,0.242398,238.226,-0.0753948,2.53772,38.1016,0.830461,135.307,0.0814232,-0.813308,12.0629,0.196997,101.595,-0.681749,-0.60616,7.58874e-05
52.4031,36.3702,14.7639,14.0771,-2.73051,0.0394789,0.64564,2.20485,1.23982,1.45257,0.562696,1.78003,89.6729,0.836642,-2.93151,13.5557,0.812954,79.2935,1.31794,-0.694853,12.434,0.982839,57.9859,1.86253,0.781414,3.81879e-05
54.4729,33.435,10.1642,16.1119,2.06916,-0.621142,0.709115,0.98736,-1.47541,-0.57126,-0.90427,0.125465,100.662,-0.702891,2.33921,15.9892,0.995806,31.1602,-1.52455,0.905344,5.05075,0.143518,18.3198,-1.45699,-0.160192,5.11045e-05
66.5648,34.041,55.975,39.1324,1.14945,-0.3271,0.464628,1.22848,0.697002,0.353842,0.297018,1.20117,80.8547,0.0657576,-2.70234,14.1674,0.0232841,51.9911,1.37569,2.0974,6.13648,0.622497,14.6107,-2.332,1.5169,5.34776e-05
36.2832,89.9813,9.49712,53.1766,-2.72743,2.74905,2.47378,2.43009,-0.408789,-1.58538,-0.152072,-1.25239,71.8641,-0.417256,-0.494646,9.74899,0.00725147,57.685,-2.42231,0.211916,9.47105,0.996603,38.2234,2.91671,-2.31249,5.53484e-05
79.151,22.6446,87.4685,57.0596,2.61158,-2.32963,2.47318,2.76998,-1.30804,-0.385976,-0.683808,-0.864188,215.032,1.05705,0.225914,36.1022,0.985182,93.9207,0.791782,-2.24733,10.5922,0.0145199,90.2629,-0.381951,1.10176,1.44689e-05
31.3189,262.986,29.7238,63.003,2.46989,-2.7412,2.8595,-2.71223,0.527539,0.491236,0.613725,0.416709,355.555,0.158126,-1.03906,38.3401,0.060284,82.4932,0.23258,1.26679,11.8177,0.949907,352.253,1.41739,1.0404,5.47227e-05
44.9116,42.8287,24.2186,22.9127,2.68389,-0.546598,2.66965,-0.314428,-1.43106,-1.19892,-0.957654,-1.17617,188.296,-2.15709,0.307043,27.4934,0.0419332,93.2781,-1.18164,3.06626,13.324,0.0240027,10.9983,-2.06144,-1.04649,5.82629e-05
32.713,93.8465,20.5621,42.1612,2.68364,-2.70506,2.94071,-2.92351,-1.59243,-0.210713,-1.25897,-0.339872,245.471,-1.65725,-0.30571,36.3401,0.0248738,42.7542,-1.8583,1.73575,7.77752,0.716621,16.85,-3.09498,-0.786369,5.4509e-05
